frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765975453.8264318,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975453.8265798,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975457.4940042,74,10.0.2.129,10.0.2.128,34658,21,S,,,0,
1765975457.5017557,60,,,0,0,,,,0,
1765975457.5017676,42,,,0,0,,,,0,
1765975457.5022306,74,10.0.2.128,10.0.2.129,21,34658,SA,,,0,
1765975457.5022705,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975457.5045445,86,10.0.2.128,10.0.2.129,21,34658,PA,,,220,(vsFTPd 2.3.4)
1765975457.5045767,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975458.8340862,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975458.8342295,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975462.603288,42,,,0,0,,,,0,
1765975462.6046321,60,,,0,0,,,,0,
1765975463.8401597,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975463.8403206,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975468.2534428,81,10.0.2.129,10.0.2.128,34658,21,PA,USER,msfadmin,0,
1765975468.2541254,66,10.0.2.128,10.0.2.129,21,34658,A,,,0,
1765975468.2541256,100,10.0.2.128,10.0.2.129,21,34658,PA,,,331,Please specify the password.
1765975468.2541752,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975468.8438747,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975468.843953,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975472.467305,81,10.0.2.129,10.0.2.128,34658,21,PA,PASS,msfadmin,0,
1765975472.4697912,89,10.0.2.128,10.0.2.129,21,34658,PA,,,230,Login successful.
1765975472.469803,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975472.4699845,72,10.0.2.129,10.0.2.128,34658,21,PA,SYST,,0,
1765975472.4703503,85,10.0.2.128,10.0.2.129,21,34658,PA,,,215,UNIX Type: L8
1765975472.4705052,72,10.0.2.129,10.0.2.128,34658,21,PA,,,0,
1765975472.4709463,81,10.0.2.128,10.0.2.129,21,34658,PA,,,0,
1765975472.4709463,73,10.0.2.128,10.0.2.129,21,34658,PA,,,0,
1765975472.4710593,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975472.4714007,131,10.0.2.128,10.0.2.129,21,34658,PA,,,0,
1765975472.5149148,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975473.850021,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975473.850175,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975478.8559725,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975478.8560362,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975483.8616645,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975483.8617792,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975484.1075397,42,,,0,0,,,,0,
1765975484.1082852,60,,,0,0,,,,0,
1765975488.8672705,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975488.8673327,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975493.873248,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975493.873432,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975498.8792632,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975498.8793058,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975503.885164,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975503.8852105,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975508.8864307,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975508.8864915,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975510.4212418,72,10.0.2.129,10.0.2.128,34658,21,PA,,,0,
1765975510.4221709,115,10.0.2.128,10.0.2.129,21,34658,PA,,,229,Entering Extended Passive Mode (|||45714|).
1765975510.4221878,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975510.4225297,74,10.0.2.129,10.0.2.128,54244,45714,S,,,0,
1765975510.4228508,74,10.0.2.128,10.0.2.129,45714,54244,SA,,,0,
1765975510.4228947,66,10.0.2.129,10.0.2.128,54244,45714,A,,,0,
1765975510.4231138,72,10.0.2.129,10.0.2.128,34658,21,PA,LIST,,0,
1765975510.4238539,105,10.0.2.128,10.0.2.129,21,34658,PA,,,150,Here comes the directory listing.
1765975510.4240124,264,10.0.2.128,10.0.2.129,45714,54244,PA,,,0,
1765975510.424025,66,10.0.2.129,10.0.2.128,54244,45714,A,,,0,
1765975510.4241848,90,10.0.2.128,10.0.2.129,21,34658,PA,,,226,Directory send OK.
1765975510.424185,66,10.0.2.128,10.0.2.129,45714,54244,FA,,,0,
1765975510.4243386,66,10.0.2.129,10.0.2.128,54244,45714,FA,,,0,
1765975510.4244056,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975510.4249754,66,10.0.2.128,10.0.2.129,45714,54244,A,,,0,
1765975513.8923702,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975513.8924203,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975514.059188,42,,,0,0,,,,0,
1765975514.0597675,60,,,0,0,,,,0,
1765975515.239764,71,10.0.2.129,10.0.2.128,34658,21,PA,PWD,,0,
1765975515.2401872,88,10.0.2.128,10.0.2.129,21,34658,PA,,,257,"""/home/msfadmin"""
1765975515.2832997,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975518.8998277,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975518.8999915,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975523.904552,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975523.9046552,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975526.4325776,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975527.44721,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975527.8770945,75,10.0.2.129,10.0.2.128,34658,21,PA,MKD,qwe,0,
1765975527.877523,100,10.0.2.128,10.0.2.129,21,34658,PA,,,257,"""/home/msfadmin/qwe"" created"
1765975527.877534,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975528.4570417,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975528.9076464,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975528.9076912,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975529.4706712,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975530.524134,72,10.0.2.129,10.0.2.128,34658,21,PA,,,0,
1765975530.5248768,115,10.0.2.128,10.0.2.129,21,34658,PA,,,229,Entering Extended Passive Mode (|||49821|).
1765975530.524918,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975530.525186,74,10.0.2.129,10.0.2.128,38318,49821,S,,,0,
1765975530.5256457,74,10.0.2.128,10.0.2.129,49821,38318,SA,,,0,
1765975530.5256648,66,10.0.2.129,10.0.2.128,38318,49821,A,,,0,
1765975530.525823,72,10.0.2.129,10.0.2.128,34658,21,PA,LIST,,0,
1765975530.526273,105,10.0.2.128,10.0.2.129,21,34658,PA,,,150,Here comes the directory listing.
1765975530.526394,325,10.0.2.128,10.0.2.129,49821,38318,PA,,,0,
1765975530.526404,66,10.0.2.129,10.0.2.128,38318,49821,A,,,0,
1765975530.5265348,66,10.0.2.128,10.0.2.129,49821,38318,FA,,,0,
1765975530.5266745,66,10.0.2.129,10.0.2.128,38318,49821,FA,,,0,
1765975530.527192,66,10.0.2.128,10.0.2.129,49821,38318,A,,,0,
1765975530.5271924,90,10.0.2.128,10.0.2.129,21,34658,PA,,,226,Directory send OK.
1765975530.5272412,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975533.9139078,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975533.9141626,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975538.921589,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975538.9217594,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975540.424335,75,10.0.2.129,10.0.2.128,34658,21,PA,CWD,qwe,0,
1765975540.4250798,103,10.0.2.128,10.0.2.129,21,34658,PA,,,250,Directory successfully changed.
1765975540.4676383,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975543.928043,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975543.9281821,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975544.9825108,72,10.0.2.129,10.0.2.128,34658,21,PA,,,0,
1765975544.983734,115,10.0.2.128,10.0.2.129,21,34658,PA,,,229,Entering Extended Passive Mode (|||27460|).
1765975544.9837513,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975544.9841185,74,10.0.2.129,10.0.2.128,42430,27460,S,,,0,
1765975544.9846232,74,10.0.2.128,10.0.2.129,27460,42430,SA,,,0,
1765975544.9846382,66,10.0.2.129,10.0.2.128,42430,27460,A,,,0,
1765975544.9848068,72,10.0.2.129,10.0.2.128,34658,21,PA,LIST,,0,
1765975544.9852324,105,10.0.2.128,10.0.2.129,21,34658,PA,,,150,Here comes the directory listing.
1765975544.9852324,66,10.0.2.128,10.0.2.129,27460,42430,FA,,,0,
1765975544.985423,66,10.0.2.129,10.0.2.128,42430,27460,FA,,,0,
1765975544.9858074,66,10.0.2.128,10.0.2.129,27460,42430,A,,,0,
1765975544.9858077,90,10.0.2.128,10.0.2.129,21,34658,PA,,,226,Directory send OK.
1765975544.9858477,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975548.9340801,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975548.9341471,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975549.1314168,42,,,0,0,,,,0,
1765975549.131767,60,,,0,0,,,,0,
1765975553.94,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975553.9401023,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975558.9467838,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975558.9468553,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975563.9523876,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975563.9524798,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975567.9654636,73,10.0.2.129,10.0.2.128,34658,21,PA,MKD,1,0,
1765975567.9660368,102,10.0.2.128,10.0.2.129,21,34658,PA,,,257,"""/home/msfadmin/qwe/1"" created"
1765975568.0069766,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975568.9583633,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975568.9584594,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975573.9638844,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975573.9639313,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975578.138588,72,10.0.2.129,10.0.2.128,34658,21,PA,,,0,
1765975578.139081,114,10.0.2.128,10.0.2.129,21,34658,PA,,,229,Entering Extended Passive Mode (|||7139|).
1765975578.1390905,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975578.1392903,74,10.0.2.129,10.0.2.128,44326,7139,S,,,0,
1765975578.1396706,74,10.0.2.128,10.0.2.129,7139,44326,SA,,,0,
1765975578.1396968,66,10.0.2.129,10.0.2.128,44326,7139,A,,,0,
1765975578.1398082,72,10.0.2.129,10.0.2.128,34658,21,PA,LIST,,0,
1765975578.1401963,105,10.0.2.128,10.0.2.129,21,34658,PA,,,150,Here comes the directory listing.
1765975578.1401963,125,10.0.2.128,10.0.2.129,7139,44326,PA,,,0,
1765975578.1402426,66,10.0.2.129,10.0.2.128,44326,7139,A,,,0,
1765975578.1403534,66,10.0.2.128,10.0.2.129,7139,44326,FA,,,0,
1765975578.1404324,66,10.0.2.129,10.0.2.128,44326,7139,FA,,,0,
1765975578.140844,66,10.0.2.128,10.0.2.129,7139,44326,A,,,0,
1765975578.1410747,90,10.0.2.128,10.0.2.129,21,34658,PA,,,226,Directory send OK.
1765975578.1411648,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975578.9696033,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975578.9696481,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975583.9754393,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975583.9755619,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975584.2034655,42,,,0,0,,,,0,
1765975584.2037413,60,,,0,0,,,,0,
1765975588.9815235,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975588.9815722,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975593.987401,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975593.9875715,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975598.9918973,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975598.992058,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975600.1574874,74,10.0.2.129,10.0.2.128,34658,21,PA,MKD,22,0,
1765975600.1579654,103,10.0.2.128,10.0.2.129,21,34658,PA,,,257,"""/home/msfadmin/qwe/22"" created"
1765975600.2031934,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975603.9983928,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975603.9984777,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975609.0047717,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975609.004951,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975614.0104346,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975614.010486,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975619.0161865,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975619.0162568,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975619.019816,42,,,0,0,,,,0,
1765975619.019955,60,,,0,0,,,,0,
1765975624.0219917,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975624.0220342,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975629.0273798,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975629.0274243,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975634.032996,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975634.0330555,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975639.0396712,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975639.0397482,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975644.0452268,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975644.0452704,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975646.436903,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975647.4452705,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975648.4540348,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975649.0509238,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975649.0509915,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975649.4585288,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765975654.05709,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975654.0572147,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975654.0912254,42,,,0,0,,,,0,
1765975654.0915468,60,,,0,0,,,,0,
1765975659.063739,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975659.063854,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975664.069612,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975664.0696554,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975669.0758092,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975669.0758524,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975674.082013,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975674.0820684,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975679.088622,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975679.0886652,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975684.0938828,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975684.09393,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975689.1000712,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975689.100115,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975689.162913,42,,,0,0,,,,0,
1765975689.1636286,60,,,0,0,,,,0,
1765975694.1060874,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975694.1061506,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975699.112735,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975699.1127813,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975704.118293,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975704.118336,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975709.1238995,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975709.1239603,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975714.1292636,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975714.1293108,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975719.13541,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975719.1354547,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975724.141554,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975724.1416025,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975724.235075,42,,,0,0,,,,0,
1765975724.2356389,60,,,0,0,,,,0,
1765975729.1480548,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975729.1482313,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975734.1525896,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975734.152632,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975739.1591878,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975739.1592672,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975744.16474,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975744.1647809,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975747.4888096,72,10.0.2.129,10.0.2.128,34658,21,PA,QUIT,,0,
1765975747.4892879,80,10.0.2.128,10.0.2.129,21,34658,PA,,,221,Goodbye.
1765975747.489288,66,10.0.2.128,10.0.2.129,21,34658,FA,,,0,
1765975747.4893014,66,10.0.2.129,10.0.2.128,34658,21,A,,,0,
1765975747.4894729,66,10.0.2.129,10.0.2.128,34658,21,FA,,,0,
1765975747.4897828,66,10.0.2.128,10.0.2.129,21,34658,A,,,0,
1765975749.1714108,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975749.1715882,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975751.7694132,74,10.0.2.129,10.0.2.128,54170,21,S,,,0,
1765975751.769945,74,10.0.2.128,10.0.2.129,21,54170,SA,,,0,
1765975751.7699678,66,10.0.2.129,10.0.2.128,54170,21,A,,,0,
1765975751.7719333,86,10.0.2.128,10.0.2.129,21,54170,PA,,,220,(vsFTPd 2.3.4)
1765975751.7719467,66,10.0.2.129,10.0.2.128,54170,21,A,,,0,
1765975754.178357,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975754.1785228,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975758.5936751,81,10.0.2.129,10.0.2.128,54170,21,PA,USER,msfadmin,0,
1765975758.594176,66,10.0.2.128,10.0.2.129,21,54170,A,,,0,
1765975758.594412,100,10.0.2.128,10.0.2.129,21,54170,PA,,,331,Please specify the password.
1765975758.5944324,66,10.0.2.129,10.0.2.128,54170,21,A,,,0,
1765975759.184696,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975759.1847377,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765975760.947161,81,10.0.2.129,10.0.2.128,54170,21,PA,PASS,msfadmin,0,
1765975760.9491796,89,10.0.2.128,10.0.2.129,21,54170,PA,,,230,Login successful.
1765975760.9491925,66,10.0.2.129,10.0.2.128,54170,21,A,,,0,
1765975760.9494004,72,10.0.2.129,10.0.2.128,54170,21,PA,SYST,,0,
1765975760.9496913,85,10.0.2.128,10.0.2.129,21,54170,PA,,,215,UNIX Type: L8
1765975760.9497824,72,10.0.2.129,10.0.2.128,54170,21,PA,,,0,
1765975760.9500582,81,10.0.2.128,10.0.2.129,21,54170,PA,,,0,
1765975760.9500582,73,10.0.2.128,10.0.2.129,21,54170,PA,,,0,
1765975760.9501445,73,10.0.2.128,10.0.2.129,21,54170,PA,,,0,
1765975760.9501774,66,10.0.2.129,10.0.2.128,54170,21,A,,,0,
1765975760.9504352,124,10.0.2.128,10.0.2.129,21,54170,PA,,,0,
1765975760.9910421,66,10.0.2.129,10.0.2.128,54170,21,A,,,0,
1765975764.0394254,72,10.0.2.129,10.0.2.128,54170,21,PA,,,0,
1765975764.040312,115,10.0.2.128,10.0.2.129,21,54170,PA,,,229,Entering Extended Passive Mode (|||56453|).
1765975764.040328,66,10.0.2.129,10.0.2.128,54170,21,A,,,0,
1765975764.0406647,74,10.0.2.129,10.0.2.128,33336,56453,S,,,0,
1765975764.041191,74,10.0.2.128,10.0.2.129,56453,33336,SA,,,0,
1765975764.0412333,66,10.0.2.129,10.0.2.128,33336,56453,A,,,0,
1765975764.0413847,72,10.0.2.129,10.0.2.128,54170,21,PA,LIST,,0,
1765975764.0418308,105,10.0.2.128,10.0.2.129,21,54170,PA,,,150,Here comes the directory listing.
1765975764.041831,325,10.0.2.128,10.0.2.129,56453,33336,PA,,,0,
1765975764.0418568,66,10.0.2.129,10.0.2.128,33336,56453,A,,,0,
